"Visit","samples","n"
"First visit",2009.75,27
"First visit",2010,172
"First visit",2010.25,174
"First visit",2010.5,244
"First visit",2010.75,169
"First visit",2011,41
"First visit",2011.25,27
"First visit",2011.5,86
"First visit",2011.75,93
"First visit",2012,74
"First visit",2012.25,20
"First visit",2012.5,1
"First visit",2014.25,1
"First visit",2014.5,1
"Second visit",2011.25,1
"Second visit",2011.5,7
"Second visit",2011.75,5
"Second visit",2012,9
"Second visit",2013,17
"Second visit",2013.25,9
"Second visit",2013.5,8
"Second visit",2013.75,16
"Second visit",2014,1
"Second visit",2014.25,67
"Second visit",2014.5,370
"Second visit",2014.75,269
"Second visit",2015,179
"Second visit",2015.25,171
