"age","Posterior median","Lower 95% CrI","Upper 95% CrI","Subset"
0,0.0931524783826574,0.0785092067293536,0.108950649248174,"All individuals"
1,0.038274558449997,0.0260180456842813,0.0498839907192575,"All individuals"
2,0.0326148090184379,0.0228369002372267,0.0441385849922435,"All individuals"
3,0.0206818942373257,0.0126271091218937,0.0309531571536259,"All individuals"
4,0.0162469644176961,0.00896835878456756,0.0247380767004053,"All individuals"
5,0.0160550458715596,0.00806428412338988,0.0243369248300926,"All individuals"
6,0.00967940272288098,0.00368958524346565,0.0163365331137744,"All individuals"
7,0.0111111280462247,0.00498706649525255,0.0177589353071518,"All individuals"
8,0.00869093140726054,0.00352899848463976,0.0151028260705953,"All individuals"
9,0.0101925385538831,0.00444346549192364,0.0172677539723992,"All individuals"
10,0.0106312339295301,0.00466703752951073,0.0173613938653637,"All individuals"
11,0.011877767118298,0.00529393261865696,0.0203053275204624,"All individuals"
12,0.0153649167733675,0.00681710396649421,0.0246640064708889,"All individuals"
13,0.0138170929034119,0.00630497171408515,0.0223824889504959,"All individuals"
14,0.0110789704815366,0.00481561761062943,0.0175887698403914,"All individuals"
15,0.0135767679123267,0.00708361642645519,0.0206433881683012,"All individuals"
16,0.0120627261761158,0.00611995104039168,0.019047619047619,"All individuals"
17,0.0133853917821309,0.00632091298573599,0.0210679866866477,"All individuals"
18,0.0127241222436309,0.0060313630880579,0.0203394143269936,"All individuals"
19,0.0128956623681125,0.00650648725381194,0.0206450723079163,"All individuals"
20,0.014125961338599,0.0077689300629259,0.0217665380116805,"All individuals"
21,0.013706457925636,0.00681818181818182,0.0208104541892444,"All individuals"
22,0.0155795313604417,0.00910217730472377,0.0242294086236818,"All individuals"
23,0.0139306664314383,0.0071496820440368,0.0220683452422486,"All individuals"
24,0.0117508813160987,0.00564254914330159,0.0190942206894977,"All individuals"
25,0.0126291618828932,0.00678618638466623,0.0196112591378015,"All individuals"
26,0.0119047619047619,0.00625723707002831,0.0196351382914829,"All individuals"
27,0.0109051383775247,0.00493172805133348,0.017660483175151,"All individuals"
28,0.0103448275862069,0.00480148997398002,0.0166116902486565,"All individuals"
29,0.0132850241545894,0.00717660526886755,0.0202894403584823,"All individuals"
30,0.0126728110599078,0.00619553136856628,0.0204795689373042,"All individuals"
31,0.0102915985616214,0.00454481253210067,0.0171439312567132,"All individuals"
32,0.009063690081505,0.00349083652087145,0.015790217068094,"All individuals"
33,0.0128068303094984,0.00662921389316654,0.0203619909502262,"All individuals"
34,0.0121506682867558,0.00606650252053772,0.0193189032098494,"All individuals"
35,0.0142348954756785,0.00751555613170858,0.0221458156329652,"All individuals"
36,0.0132132179794995,0.00715947834981248,0.0204553457106274,"All individuals"
37,0.0129709333626998,0.00668367679666101,0.0201903236641954,"All individuals"
38,0.0147640400454637,0.00773922679143068,0.0228114146421928,"All individuals"
39,0.0144090895781816,0.00757494122257053,0.0220686480106112,"All individuals"
40,0.0135667196095441,0.0076980699389115,0.0214389696610044,"All individuals"
41,0.0128579821828715,0.0064849442394803,0.020410123076119,"All individuals"
42,0.0115765107212476,0.00574565532933192,0.0191469269333518,"All individuals"
43,0.0102272727272727,0.00452399815144913,0.016873264032587,"All individuals"
44,0.0127425437851961,0.00681818181818182,0.0204847536599487,"All individuals"
45,0.0177679121963251,0.0105398377366341,0.0255475512262943,"All individuals"
46,0.013713682941531,0.00696683888021146,0.0213573061268337,"All individuals"
47,0.013982254304835,0.00729904834546922,0.0215311775482322,"All individuals"
48,0.0132185064384954,0.006681143281366,0.0209818407399053,"All individuals"
49,0.00961538461538462,0.00443781347986148,0.0160432101592827,"All individuals"
50,0.0115068780062689,0.00577251467557651,0.0185424861763331,"All individuals"
51,0.00993788819875776,0.00441476765213412,0.0168781090960079,"All individuals"
52,0.0103151896339733,0.00480769230769231,0.0169702540106952,"All individuals"
53,0.0149506125533523,0.00839328537170264,0.0233134919214552,"All individuals"
54,0.00995233280369782,0.0044889612003706,0.0165025949159801,"All individuals"
55,0.0119247684077988,0.00596345047175072,0.0184359263893551,"All individuals"
56,0.010507884491652,0.00503715207414001,0.0171861515846478,"All individuals"
57,0.0112030891993769,0.00567504753041111,0.0179519338821466,"All individuals"
58,0.00794551645856981,0.00329607415485278,0.0140012132822478,"All individuals"
59,0.00794626816305974,0.00319140457186786,0.0135762032085561,"All individuals"
60,0.00783582198649783,0.00346770978672513,0.0133984580368543,"All individuals"
61,0.0072289156626506,0.00242101578225736,0.0129564829159957,"All individuals"
62,0.0097501559668459,0.00477158500631756,0.0160196859392529,"All individuals"
63,0.00826446280991736,0.00353356890459364,0.0142011834319527,"All individuals"
64,0.00784094152778693,0.00344007208387942,0.0132603023994448,"All individuals"
65,0.00818713450292398,0.00355819428590613,0.0135478833606481,"All individuals"
66,0.00650477138803246,0.00254219054033827,0.0117938500402396,"All individuals"
67,0.00481347773766546,0.00119906815274986,0.00965023731288791,"All individuals"
68,0.00618431318555234,0.00240299170616114,0.010638612614881,"All individuals"
69,0.0074719800747198,0.00328445595671658,0.012895851454071,"All individuals"
70,0.00327868852459016,0.00110077637719719,0.0070556579799691,"All individuals"
71,0.00467836257309942,0.00120152628359036,0.00937490959436282,"All individuals"
72,0.00423728813559322,0.00113772261337751,0.00848973962930274,"All individuals"
73,0.00381436899230821,0.00115740740740741,0.00814999456639861,"All individuals"
74,0.00240240326899991,0.00108580832823025,0.0061677018160783,"All individuals"
75,0.00240963855421687,0.00110217275804603,0.0057227964964886,"All individuals"
76,0.00259403372243839,0.00109866303915031,0.00620047119297494,"All individuals"
77,0.00122399020807834,0.00106269925611052,0.00362231534834992,"All individuals"
78,0.00363636363636364,0.00124832299178266,0.00644476525947475,"All individuals"
79,0.00248756218905473,0.00109170305676856,0.00595928995090388,"All individuals"
80,0.00133511348464619,0.00105764234779804,0.00384752954549909,"All individuals"
81,0.0012453300124533,0.00107037753781676,0.0037048737428595,"All individuals"
82,0.00233644859813084,0.00107405629369704,0.00479114061034557,"All individuals"
83,0.00121951219512195,0.00105675194879497,0.0035830633985549,"All individuals"
84,0.00118553687181304,0.00105042016806723,0.0025958023817946,"All individuals"
85,0.00119760479041916,0.00106219267277869,0.0026203878070484,"All individuals"
86,0.00126262626262626,0.00106050280686603,0.00373820274966382,"All individuals"
87,0.00119617224880383,0.00104335254464838,0.00258265344546253,"All individuals"
88,0.00117370892018779,0.0010520228014832,0.00198163617696472,"All individuals"
89,0.00116686114352392,0.00104603197900488,0.00240675975504277,"All individuals"
0,0.25,0.211103603603604,0.293200830867289,"Born after 1985"
1,0.074468085106383,0.0401959798994975,0.110552763819095,"Born after 1985"
2,0.0802139037433155,0.0487657948868645,0.11734693877551,"Born after 1985"
3,0.0529411764705882,0.0263123449986222,0.0851128697457187,"Born after 1985"
4,0.0386740331491713,0.0161247196825944,0.0655737704918033,"Born after 1985"
5,0.0381474221905441,0.0132976190476191,0.0659975600863785,"Born after 1985"
6,0.0245248406110911,0.00561248509195907,0.047917140744112,"Born after 1985"
7,0.021978021978022,0.00555555555555556,0.0452946550936501,"Born after 1985"
8,0.0153061224489796,0.00508909147415311,0.0327868852459016,"Born after 1985"
9,0.0169491525423729,0.00523560209424084,0.0382513661202186,"Born after 1985"
10,0.016304347826087,0.00518134715025907,0.035270469997044,"Born after 1985"
11,0.0160427807486631,0.00515463917525773,0.0359281437125748,"Born after 1985"
12,0.0227272727272727,0.0055842644320298,0.0449480337078652,"Born after 1985"
13,0.0205128205128205,0.0053475935828877,0.0415695164075993,"Born after 1985"
14,0.0207253886010363,0.00531593019983113,0.0422356007944389,"Born after 1985"
15,0.027027027027027,0.0100477386934673,0.0517420977011494,"Born after 1985"
16,0.0213903743315508,0.00574630541871921,0.0402298850574713,"Born after 1985"
17,0.0211640211640212,0.0054143291257597,0.0398706467661692,"Born after 1985"
18,0.0157068062827225,0.00511970172684458,0.0321403792784458,"Born after 1985"
19,0.0213903743315508,0.00555555555555556,0.0406942370856972,"Born after 1985"
20,0.0256410256410256,0.00580894145950281,0.044711568639759,"Born after 1985"
21,0.0207793609671848,0.00531000225149161,0.0386740331491713,"Born after 1985"
22,0.0317460317460317,0.0149944581280788,0.0515530687463276,"Born after 1985"
23,0.0223463687150838,0.0058080723215486,0.0428209993674889,"Born after 1985"
24,0.0196078431372549,0.00531914893617021,0.0360518999073216,"Born after 1985"
25,0.0164835164835165,0.00523560209424084,0.0314177459355194,"Born after 1985"
26,0.0116279069767442,0.0050251256281407,0.0261371073298429,"Born after 1985"
27,0.0116279069767442,0.0050722965697585,0.0259474269592817,"Born after 1985"
28,0.00552486187845304,0.00485436893203883,0.0116347069223446,"Born after 1985"
29,0.00537634408602151,0.00480424181082076,0.0061031722280413,"Born after 1985"
