year,AR
7872,0.5989717223650386
7873,0.04591836734693878
7874,0.02284263959390863
7875,0.005037783375314861
7876,0.01990049751243781
7877,0.0024752475247524753
7878,0.1037037037037037
7879,0.23774509803921567
7880,0.007334963325183374
7881,0.0024449877750611247
7882,0.028985507246376812
7883,0.009592326139088728
7884,0.44630071599045346
7885,0.01182033096926714
7886,0.0351288056206089
7887,0.011682242990654205
7888,0.004651162790697674
7889,0.016091954022988506
7890,0
7891,0.10909090909090909
7892,0.01580135440180587
7893,0.31777777777777777
7894,0.024229074889867842
7895,0.0043859649122807015
7896,0.030434782608695653
7897,0.0021598272138228943
7898,0.0021413276231263384
7899,0.019067796610169493
7900,0.006263048016701462
7901,0.012448132780082987
7902,0.01443298969072165
7903,0.004081632653061225
7904,0.006109979633401222
7905,0.010141987829614604
7906,0.07056451612903226
7907,0.002004008016032064
7908,0.0297029702970297
7909,0.0196078431372549
7910,0.060665362035225046
7911,0.007782101167315175
7912,0.021359223300970873
7913,0.017341040462427744
7914,0.005758157389635317
7915,0.07442748091603053
7916,0.06994328922495274
7917,0.035580524344569285
7918,0.13172541743970315
7919,0.027522935779816515
7920,0.0018315018315018315
7921,0.00546448087431694
7922,0.0018050541516245488
7923,0.005376344086021506
7924,0.005357142857142857
7925,0.012411347517730497
7926,0.0035335689045936395
7927,0.015789473684210527
7928,0.0051813471502590676
7929,0.17264957264957265
7930,0.03577512776831346
7931,0.04753820033955857
7932,0.021848739495798318
7933,0.15206611570247933
7934,0.004909983633387889
7935,0.006514657980456026
7936,0.1050080775444265
7937,0.00482315112540193
7938,0.009584664536741214
7939,0.006359300476947536
7940,0.007911392405063292
7941,0.007861635220125786
7942,0.0249609984399376
7943,0.00927357032457496
7944,0.006144393241167435
7945,0.09174311926605505
7946,0.00906344410876133
7947,0.008995502248875561
7948,0.010401188707280832
7949,0.035398230088495575
7950,0.010309278350515464
7951,0.011747430249632892
7952,0.004398826979472141
7953,0.00727802037845706
7954,0.013062409288824383
7955,0.004329004329004329
7956,0.027298850574712645
7957,0.0014245014245014246
7958,0.01991465149359886
7959,0.0014204545454545455
7960,0.007082152974504249
7961,0.005649717514124294
7962,0.004207573632538569
7963,0.011157601115760111
7964,0
7965,0.07044198895027624
7966,0.0013736263736263737
7967,0.005471956224350205
7968,0.002717391304347826
7969,0.004048582995951417
7970,0.27897574123989216
7971,0.012080536912751677
7972,0.0013404825737265416
7973,0.0013280212483399733
7974,0.023809523809523808
7975,0.011857707509881422
7976,0.007874015748031496
7977,0.002617801047120419
7978,0.0012987012987012987
7979,0.00258732212160414
7980,0.05426356589147287
7981,0.005161290322580645
7982,0.0012853470437017994
7983,0.20102432778489115
7984,0.022988505747126436
7985,0.008905852417302799
7986,0.05964467005076142
7987,0.045512010113780026
7988,0.005025125628140704
7989,0.3324968632371393
7990,0.00878293601003764
7991,0.0012484394506866417
7992,0.009925558312655087
7993,0.016129032258064516
7994,0.38773006134969323
7995,0.014563106796116505
7996,0.024067388688327317
7997,0.010817307692307692
7998,0.007194244604316547
7999,0.011890606420927468
8000,0.040236686390532544
8001,0.2733727810650888
8002,0.05647058823529412
8003,0.07459207459207459
8004,0.002325581395348837
8005,0.05324074074074074
8006,0.01722158438576349
8007,0.001142857142857143
8008,0.026136363636363635
8009,0.009070294784580499
8010,0.1096045197740113
8011,0.0033783783783783786
8012,0.006756756756756757
8013,0.003367003367003367
8014,0.008938547486033519
8015,0.022296544035674472
8016,0.004449388209121246
8017,0.042175360710321866
8018,0.0022099447513812156
8019,0.0021953896816684962
8020,0.10589519650655022
8021,0.002183406113537118
8022,0.022727272727272728
8023,0.006472491909385114
8024,0.022532188841201718
8025,0.15310492505353318
8026,0.13205537806176784
8027,0.007446808510638298
8028,0
8029,0.5163674762407603
8030,0.03343782654127482
8031,0.02702702702702703
8032,0.012409513960703205
8033,0.02577319587628866
8034,0.009230769230769232
8035,0.02247191011235955
8036,0.007135575942915392
8037,0.002026342451874367
8038,0.05331991951710262
8039,0.11746987951807229
8040,0.007
8041,0.002
8042,0.031
8043,0.01
8044,0.001
8045,0.011
8046,0.004
8047,0.005
8048,0.002
8049,0.137
8050,0.004
8051,0
8052,0.008
8053,0.008
8054,0.001
8055,0
8056,0.002
8057,0.009
8058,0.001
8059,0.005
8060,0.002
