"names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type"
"rho",-0.181736297555505,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.247286966266076,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.172928668045155,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.213008987231086,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.283210553653008,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.734119967535726,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.338977678884135,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.522791203358381,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.120037598755414,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.334587355520689,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.436874127450064,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.0575778362534895,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.245103788766289,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.110543827313204,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.259919658331534,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.787143808536353,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.324000652340121,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.742547394906332,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.210772679349186,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.668301282150666,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.0134811165762386,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.40619818395251,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.240577933657091,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.180156268087332,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
